run_id,condition,agent_id,dp_index,keyword_score,judge_verdict,judge_reason,orchestrator_state,answer_keywords,question_fragment,response_text
s8_n3_dense_d3_dacs_t04_ba1ae5,dacs,a3,14,1,CORRECT,The orchestrator's response directly addresses the steering question about executive summary emphasis by making a clear decision (CISO/risk-focused framing) and providing substantive rationale tied to the target audience (board-level decision makers) and business objectives of the whitepaper.,FOCUS,business risk|ciso|executive,executive summary emphasis for PQC whitepaper,"**DECISION: Business risk / CISO-focused executive summary is the correct framing for board-level PQC adoption decisions**

**Rationale:**
- **Executive audiences respond to risk and action, not algorithms** — board members and CISOs need to understand *why* they must act now and *what* they must do, not the mathematical basis of lattice cryptography
- **Harvest-now threat is a business risk, not a technical curiosity** — framing PQC as a risk management problem (like GDPR or ransomware) resonates with leadership accustomed to translating threat intelligence into budget decisions
- **Cost framing must be proportionate** — presenting migration as a manageable, bounded investment with defined phases reduces the paralysis that often accompanies large cryptographic overhauls
- **Action items create accountability** — ending with explicit CISO action items (inventory, risk assessment, vendor evaluation, timeline) converts the whitepaper from a reference document into a decision-making tool
- **Regulatory framing alone is insufficient** — NIST compliance motivates federal contractors, but the broader enterprise audience needs the *risk* rationale to justify investment independent of mandates

**Guidance for Agent a3 on Executive Summary:**

Structure the summary around four components (target 400–600 words):

1. **The threat (2–3 sentences)**: Harvest-now attacks create retroactive decryption risk today — adversaries are archiving encrypted enterprise data now with the intent to decrypt when quantum computers arrive. Long-lived secrets (IP, patient data, strategic plans) face 10–25 year exposure windows.

2. **The opportunity window (2 sentences)**: Migration is tractable today using NIST-standardized algorithms (ML-KEM, ML-DSA, SLH-DSA) deployed via hybrid schemes in TLS 1.3. The cost and complexity of migration grows with every year of delay as cryptographic debt accumulates.

3. **Business risk prioritization"
s8_n3_dense_d3_dacs_t09_11cd71,dacs,a3,10,1,CORRECT,"The response correctly identifies NIST SP 800-208 as the primary compliance anchor for PQC (which is the authoritative US government guidance on post-quantum cryptographic transitions) and correctly identifies FIPS 203/204/205 as the primary PQC algorithm standards, while appropriately including GDPR and ISO 27001 as secondary enterprise-relevant frameworks.",FOCUS,nist sp 800|fips|compliance,compliance framework alignment for PQC whitepaper,"**STEERING DECISION for Agent a3:**

**Compliance Framework Alignment: NIST SP 800-208 and FIPS 203/204/205 as primary references, with GDPR and ISO 27001 as secondary contextual frameworks**

**Rationale:**
1. **Primary compliance anchor:** NIST SP 800-208 (Transition to Post-Quantum Cryptography Algorithms)"
s8_n3_dense_d3_dacs_t07_ea66a9,dacs,a2,12,1,CORRECT,"The response correctly identifies CONSORT as the mandatory reporting standard for randomised controlled trials, appropriately distinguishes it from STROBE (which applies to observational studies), and provides a structured breakdown of required reporting elements, directly addressing the steering question on clinical trial reporting standards.",FOCUS,consort|strobe|reporting guideline,reporting standard for clinical trial analysis,"## Orchestrator Decision: Agent a2 Reporting Standard

**Decision: Confirm CONSORT statement as the mandatory reporting standard**

### Rationale:
1. **RCT mandatory requirement**: CONSORT is required by virtually all peer-reviewed clinical journals for randomised controlled trial publications — non-compliance leads to desk rejection
2. **Wrong guideline**: STROBE applies to observational studies (cohort, case-control, cross-sectional) — using STROBE for an RCT signals methodological confusion
3. **No guideline unacceptable**: Submission without CONSORT compliance will be rejected or returned for revision before peer review

### Required CONSORT Elements for This Trial:

| Section | Key Requirements |
|---------|------------------|
| **Title/Abstract** | Trial registration number, intervention description |
| **Introduction** | Background, objectives, hypothesis |
| **Methods** | Eligibility, settings, interventions, outcomes, sample size calculation |
| **Randomisation** | Generation, allocation concealment, implementation |
| **Blinding** | Who was blinded, how |
| **Statistical methods** | Pre-specified analyses, subgroup plans, multiple comparison correction |
| **Results** | Participant flow, baseline characteristics, primary/secondary outcomes with 95% CI and effect sizes |
| **Ancillary analyses** | Sensitivity analyses, subgroup results |
| **Discussion** | Limitations, generalisability, registration protocol compliance |

### Implementation:
```
CONSORT Checklist Compliance:
├── Item 1a: Title identifies as RCT ✓
├── Item 4a: Eligibility criteria ✓
├── Item 7a: Sample size calculation ✓
├── Item 12a: Primary/secondary outcomes specified ✓
├── Item 12b: Additional analyses (subgroups, sensitivity) ✓
└──"
s8_n3_dense_d3_baseline_t03_8d1cf0,baseline,a1,1,1,CORRECT,,FLAT,wordpiece|subword|bpe,tokenizer choice for legal text classification,"# Steering Decisions — Flat Context Request

---

## Agent a2 — Multiple Comparison Correction for Secondary Outcomes

**DECISION: Benjamini-Hochberg FDR correction**

**Rationale:** With 8 secondary outcomes, Benjamini-Hochberg controls false discovery rate appropriately for exploratory endpoints without the power loss of Bonferroni. FDR is the preferred framework for secondary outcomes in clinical trials because these analyses are hypothesis-generating rather than confirmatory. No correction is invalid for regulatory reporting.

**Calibration guidance:**
- **If primary outcome is significant** (p ≤ 0.05): Secondary testing proceeds with BH correction at α = 0.05
- **Report both uncorrected and corrected p-values** to show inflation
- **If no primary effect**: Secondary results should be reported as exploratory only, with BH correction emphasized

---

## Agent a1 — Tokenizer Choice for Legal Text Classification

**DECISION: WordPiece / subword tokenizer matched"
s8_n3_dense_d3_dacs_t09_11cd71,dacs,a2,2,1,CORRECT,"The response directly addresses the multiple comparison correction question by recommending Benjamini-Hochberg FDR for the family of 8 secondary tests, providing clear rationale for why FDR control is appropriate over Bonferroni or no correction, and includes implementation code and reporting standards.",FOCUS,bonferroni|fdr|benjamini,multiple comparison correction for family of tests,"# Steering Decision: Agent a2

**Multiple Comparison Correction: Benjamini-Hochberg FDR** ✓

## Rationale

- **8 secondary outcomes** constitutes a ""family of tests"" requiring correction
- **FDR (False Discovery Rate)** control is appropriate for secondary/exploratory outcomes because:
  - Preserves power better than Bonferroni (less conservative)
  - Acceptable for pre-specified secondary analyses in clinical trial reporting
  - Controls proportion of significant findings that are false positives

- **Bonferroni** is overly conservative here — appropriate for primary outcomes or confirmatory testing, not exploratory secondaries

- **No correction** violates clinical reporting standards

## Recommended Implementation

```python
from scipy.stats import false_discovery_control

# Run 8 secondary tests, collect p-values
p_values = [test_secondary_outcome_i(...) for i in range(8)]

# Apply Benjamini-Hochberg FDR correction
rejected, p_adjusted = false_discovery_control(p_values, method='bh')

# Interpretation: Out of all rejected null hypotheses, 
# expect <5% to be false positives
```

## Reporting Standard
- Report raw p-values **and** FDR-adjusted p-values
-"
s8_n3_dense_d3_dacs_t08_91f04a,dacs,a3,11,1,CORRECT,"The response directly addresses the migration cost estimation approach by selecting and justifying the TCO framework, explaining why it's superior to flat estimates or no guidance, and providing concrete implementation details for the whitepaper section.",FOCUS,migration cost|tco|total cost,migration cost estimation approach,"## STEERING DECISION: Agent a3

**Migration Cost Estimation: Total Cost of Ownership (TCO) Framework**

### Rationale

| Option | Suitability | Verdict |
|--------|-------------|---------|
| **TCO framework** (inventory + cryptographic bill of materials + phased migration cost) | Enables CFO/CISO business case development; scales by organisation size and asset inventory; phased approach maps to migration roadmap from Section 4; produces defensible budget projections | ✓ **SELECTED** |
| Single flat cost estimate | Organisation-specific variables (asset count, HSM fleet, PKI complexity, staff skills) make any single number meaningless; too imprecise for budget planning | ✗ Imprecise |
| No cost guidance | Enterprises require business case input for security investment requests; omitting cost framing reduces whitepaper's utility for executive audience and procurement teams | ✗ Gaps business case |

### Recommended Section 12 Content: ""Migration Cost Estimation and Business Case""

**Include:**

- **TCO components breakdown**:
  - *Discovery phase*: Cryptographic inventory tooling (e.g., `oqs-cost`, Cryptosense, Keyfactors); typically 2–6 weeks for mid-enterprise
  - *Library and SDK licensing*: liboqs (open-source, no licence cost); vendor SDK costs for HSM firmware upgrades
  - *Infrastructure upgrade*: TLS termination points (load balancers, API gateways, CDN edges — highest volume); HSM firmware/key migration; PKI CA infrastructure
  - *Operational overhead*: Staff training, key rotation cycles, certificate renewal with larger PQC payloads
  - *Hybrid TLS performance delta*: Kyber-768 adds ~1KB to TLS handshake — negligible for most workloads; note latency-sensitive use cases

- **Cost estimation methodology**: Asset inventory count × per-endpoint migration cost + fixed HSM"
s8_n3_dense_d3_dacs_t04_ba1ae5,dacs,a3,2,1,CORRECT,"The orchestrator makes a clear, defensible decision on the depth of NIST standardisation coverage (one focused section) with specific rationale tied to enterprise audience needs and provides actionable guidance for structuring that section.",FOCUS,nist|nist pqc|standardiz,NIST standardisation depth for PQC whitepaper,"**DECISION: Cover the NIST PQC standardisation process and final standards (FIPS 203/204/205) in one focused section**

**Rationale:**
- Enterprise security practitioners and CISOs need the compliance anchor — they must cite FIPS standards in procurement, vendor assessments, and risk documentation
- A focused section provides sufficient historical context (why NIST ran the competition, timeline milestones) without exhaustive algorithm-by-algorithm coverage
- This matches the target audience's practical needs: they need to *know the standards exist and their reference numbers* more than the full cryptographic competition history

**Guidance for Agent a3 on Section 3 (NIST Standardisation Process):**

Structure the section around:
1. **Purpose and urgency** (2-3 sentences): Why NIST initiated the competition — quantum threat timeline, risk to current RSA/ECC
2. **Process overview** (brief): 2016 call for proposals → multiple rounds → final selections in 2024
3. **Final standards table** (practical reference):
   | Standard | Algorithm | Type | Use Case |
   |---|---|---|---|
  "
s8_n3_dense_d3_dacs_t08_91f04a,dacs,a2,5,0,CORRECT,"The response directly addresses the steering question by selecting Winsorisation as the approved method for handling outliers in clinical measurements, providing substantive technical rationale (preserving sample size, avoiding selection bias, reducing extreme value influence) and a clear implementation protocol.",FOCUS,winsoriz|iqr|robust,outlier handling for clinical measurements,"# Steering Decision: Agent a2 Outlier Handling

**Approved Method:** Winsorisation at 1st/99th percentile ✓

**Rationale:**
- **Preserves sample size** (N = 400) — critical for maintaining pre-specified power calculations
- **Reduces extreme value influence** without discarding data points
- Deleting outlier rows risks **selection bias** if extreme values represent genuine treatment responders
- Sensitivity analysis alone is insufficient as primary methodology — outliers must be handled, not just noted

**Recommended Protocol:**
1. Winsorise BP values at 1st/99th percentile (replace values beyond these bounds with boundary values)
2. Run primary analysis on Winsorised data
3. Report sensitivity analysis: results with and without Winsorisation (as secondary validation)
4. Include outlier count and"
s8_n3_dense_d3_baseline_t08_cce362,baseline,a2,0,1,CORRECT,"The orchestrator response for Agent a2 directly addresses the steering question by selecting Welch's t-test as the appropriate statistical test for a continuous primary outcome (BP reduction) in a two-group comparison with 400 patients, providing defensible rationale including unequal variance accommodation and robustness to normality violations.",FLAT,t-test|student|welch,statistical test for continuous primary outcome,"# Steering Decisions

## Agent a1 [LOW] — No action required
- **Status:** Waiting on architectural decision (BERT base model)
- **Decision:** No steering request submitted yet. Awaiting agent to pose specific architecture question (e.g., `bert-base-uncased` vs. domain-adapted variant).

---

## Agent a2 [HIGH] — Decision confirmed
**Question:** Which statistical test for continuous BP reduction outcome (400 patients, treatment vs. control)?

**Decision: Welch's t-test (primary test)**

| Option | Appropriateness | Rationale |
|--------|-----------------|-----------|
| **Welch's t-test** | ✅ Primary test | Continuous outcome, allows unequal variances, robust to normality violations with n=200/group |
| Mann-Whitney U | ⚠️ Fallback | Use if Shapiro-Wilk normality test fails (p < 0"
s8_n3_dense_d3_baseline_t08_cce362,baseline,a3,12,0,INCORRECT,"The orchestrator response completely ignores the steering question about vendor landscape coverage strategy and instead discusses evaluation metrics for legal document classification, which is entirely unrelated to both the agent domain (post-quantum cryptography whitepaper) and the actual question posed.",FLAT,pqshield|quantinuum|vendor,vendor landscape coverage strategy,"# Orchestrator Steering Decisions — Parallel Agents

---

## Agent a1 [MEDIUM] — Decision Confirmed

**Question:** Evaluation metric for legal document classification (12 classes, rare 'Arbitration Clause' = 0.8%)?

**Decision: Macro-averaged F1 (treats all 12 classes equally)**

| Option | Appropriateness | Verdict |
|--------|-----------------|---------|
| **Macro-averaged F1** | Weights all classes equally regardless of size; gives rare categories full influence on"
s8_n3_dense_d3_baseline_t02_d1254f,baseline,a3,7,1,CORRECT,"The response correctly identifies X25519Kyber768 hybrid KEM in TLS 1.3 as the production-deployed post-quantum TLS solution, accurately noting it is used by Cloudflare and Google Chrome, and appropriately dismisses TLS 1.2 PQC cipher suites as legacy—providing a technically defensible and current recommendation for enterprise PQC TLS integration coverage.",FLAT,tls 1.3|post-quantum tls|hybrid kem,TLS integration coverage for PQC deployment,"## Orchestrator Decision

### Agent a3 — TLS Integration Coverage ✓

**Decision: Hybrid KEM in TLS 1.3 (X25519Kyber768)**

**Rationale:**
- TLS 1.3 is the current standard; TLS 1.2 is deprecated and not recommended for new deployments
- X25519Kyber768 is the production-deployed hybrid KEM (Cloudflare, Google Chrome) — this is the *only* currently operational post-quantum TLS deployment
- OQS-OpenSSL provides the implementation path enterprises can adopt today
- Skipping TLS is not viable — TLS is the primary enterprise surface for KEM deployment (key exchange, session encryption)
- TLS 1.2 PQC cipher suites are legacy/unsupported and would give enterprises outdated guidance

**Proceed:** Cover X25519Kyber768 hybrid KEM in TLS 1.3 as the current deployment path; note TLS 1.2 is deprecated; frame as ""post-quantum TLS is deployable now via hybrid schemes."""
s8_n3_dense_d3_baseline_t05_21fa95,baseline,a2,4,0,INCORRECT,"The steering question asks about confidence interval width for reporting in the context of statistical hypothesis testing on clinical trial data, but the orchestrator response addresses post-quantum cryptography library selection (liboqs vs BouncyCastle), which is an entirely unrelated topic.",FLAT,95%|95 percent|confidence interval,confidence interval width for reporting,"## Steering Decision — Agent a3 [MEDIUM] ✅

**Decision: liboqs (Open Quantum Safe)**

---

## Rationale

**Cross-platform capability is the decisive factor for enterprise:**
- liboqs provides C, Python, and Java bindings — covers the majority of enterprise infrastructure (Linux servers, data science pipelines, JVM-based systems)
- BouncyCastle is JVM-only — severely limits utility in heterogeneous enterprise environments with mixed technology stacks
- Cross-platform support enables a single library to serve as the PQC backbone across TLS termination points, application servers, and client tooling

**Open Quantum Safe project credentials:**
- Actively maintained by academic-industry consortium (University of Waterloo, Microsoft Research, Amazon, others)
- Algorithms undergo security review before inclusion
"
s8_n3_dense_d3_dacs_t03_534933,dacs,a1,6,1,INCORRECT,"The response is incomplete and appears to be truncated mid-sentence (cutting off at ""Enable""), leaving the full recommendation unclear and failing to provide a complete, actionable answer to the dropout strategy question.",FOCUS,dropout|regulariz|layer dropout,dropout strategy to reduce overfitting on legal corpus,"## Decision for Agent a1: Dropout Strategy for Overfitting Mitigation

**Recommended: Increase Dropout Rate in Classification Head + Enable"
s8_n3_dense_d3_dacs_t05_30cdbf,dacs,a1,0,1,CORRECT,"The response directly addresses the steering question by recommending LegalBERT as the base model architecture and substantively justifies this choice through domain specificity, task fit considerations, and comparisons with alternatives, making a technically defensible selection.",FOCUS,bert|transformer|pretrained,base model architecture for legal text classifier,"## Steering Decision: Agent a1

**Recommendation: LegalBERT (legal-domain pretrained transformer)**

### Rationale:
1. **Domain specificity**: Legal documents contain specialized vocabulary, complex sentence structures, and legal terminology (citations, statutory references). LegalBERT's pretraining on legal corpora (case law, contracts, regulations) provides relevant embeddings out-of-the-box.

2. **Task fit**: With 12 categories and 50K examples, you have sufficient data to fine-tune a transformer effectively while benefiting from domain-adapted weights.

3. **Rejection of alternatives**:
   - **Generic BERT**: Viable but suboptimal—lacks legal-specific pretraining
   - **BiLSTM**: Disadvantage is explicitly stated (no transfer learning)
   - **TF-IDF + SVM**: Fast but misses contextual semantics critical for legal text classification

### Next step: Once LegalBERT is selected, confirm which LegalBERT variant (e.g., `nlpaueb/legal-bert-base-uncased` or domain-specific variant) matches your jurisdiction (U.S., EU, multi-l"
s8_n3_dense_d3_baseline_t10_12a431,baseline,a1,6,0,INCORRECT,"The orchestrator response discusses X.509 certificates, PQC signature algorithms, and PKI migration strategies, which are entirely unrelated to dropout strategies for reducing overfitting in BERT text classification on legal documents.",FLAT,dropout|regulariz|layer dropout,dropout strategy to reduce overfitting on legal corpus,"## Orchestrator Decision

### Agent a3 — APPROVED

**Decision:** Use **X.509 certificates with PQC signature algorithms** (Dilithium/XMSS signatures) as the standardized PKI transition path.

**Rationale:**
- X.509 certificates with PQC signatures are the **standards-aligned path** — IETF hybrid certificate drafts and NIST guidance establish this as the migration architecture
- **Custom certificate formats are non-starters** — enterprises run on existing PKI infrastructure (Microsoft AD CS, EJBCA, Venafi, DigiCert); breaking compatibility eliminates any migration path
- **Reusing RSA certificates unchanged is insufficient** — the signature algorithm is what needs to change; keeping RSA signatures while only upgrading key exchange defeats the PQC migration purpose
- Certificate chain validation (TLS server certs, code signing, document signing) requires PQC signatures to be trustworthy post-quantum

**Section 9 key messaging:**
- Lead with **hybrid certificates** (RSA/ECC + PQC dual signatures) as the near-term deployment model — consistent with hybrid KEM approach from Section 8
- IETF hybrid X.509 drafts (e.g., `draft-ietf-tls-hybrid-design`) define the certificate format — enterprises should monitor these for production-ready specs
- Certificate lifecycle management (issuance, rotation, revocation) must be updated to support PQC algorithms before full deployment
- **Practical note:** most enterprises will adopt PQC certificates through CA vendors (DigiCert, Sectigo, GlobalSign) — flag that enterprise PKI teams should request PQC certificate profiles from their CAs now"
s8_n3_dense_d3_dacs_t07_ea66a9,dacs,a3,11,1,INCORRECT,The response is a truncated fragment that begins addressing cost but is incomplete and fails to provide any substantive guidance on a migration cost estimation approach for post-quantum cryptography.,FOCUS,migration cost|tco|total cost,migration cost estimation approach,**Decision: Total cost of
s8_n3_dense_d3_baseline_t03_8d1cf0,baseline,a2,11,0,INCORRECT,"The orchestrator's response discusses PQC (post-quantum cryptography) vendor landscape strategy and whitepaper structure, which is entirely unrelated to the stated task domain of running iterative statistical hypothesis testing on clinical trial datasets or the steering question about sensitivity analysis for robustness.",FLAT,sensitivity|robustness check|exclusion criteria,sensitivity analysis for robustness,"# Steering Decision — Flat Context Request

---

## Agent a3 — Vendor Landscape Coverage Strategy

**DECISION: Cover major PQC vendors (PQShield, Quantinuum, SandboxAQ, IBM Quantum-safe) without endorsing a single vendor**

**Rationale:** Covering the commercial PQC vendor ecosystem is essential for practitioner readers who need procurement guidance. An independent whitepaper must remain vendor-neutral — endorsing a single vendor undermines credibility and limits usefulness across diverse enterprise environments. Omitting vendor coverage entirely fails the practitioner use case: ""who do we buy from?"" is a direct question enterprises will ask after reading Sections 1-12.

**Calibration guidance for Section 13:**

- **Coverage approach:** Profile 4-6 major vendors with brief capability summaries (algorithm coverage, enterprise integration offerings, target customer segment)
- **Vendor selection criteria:** Market presence, NIST collaboration, enterprise readiness, solution breadth
- **Framing:** Present as landscape overview, not ranking or endorsement — phrases like ""represents notable players in the PQC vendor ecosystem"" rather than ""best vendors""
- **Complementary angle:** Position vendors as implementation partners complementing in-house teams using liboqs (Section 6) — enterprises will likely combine open-source tooling with vendor support for production deployment
- **Avoid:** Recommending specific procurement decisions — this is guidance, not a vendor evaluation

**Connection to prior decisions:**
- Builds on Sections 6 (liboqs) and 10 (HSM vendor timelines) — vendor landscape shows where enterprises can source PQC solutions beyond internal open-source implementations"
s8_n3_dense_d3_dacs_t02_be884b,dacs,a3,3,1,CORRECT,"The response directly addresses the migration timeline framing question by establishing a clear, defensible position—choosing hybrid cryptography/crypto-agility as the optimal middle-ground approach—while explicitly framing and dismissing the ""wait and see"" and ""immediate full cutover"" extremes with technically sound rationale (compatibility concerns, harvest-now-decrypt-later threats, and industry authority recommendations).",FOCUS,hybrid|crypto-agility|migration,migration timeline framing for PQC adoption,"**STEERING DECISION for Agent a3**

**Decision:** Hybrid cryptography / crypto-agility approach as the primary migration strategy, with explicit framing against the ""wait and see"" and ""immediate full cutover"" alternatives.

**Rationale:**

- **Immediate full cutover:** Impractical for most enterprises — breaks compatibility with existing systems, partners, clients, and protocols; no phased risk reduction
- **""Wait until quantum computers exist"":** Dangerous — ""harvest now, decrypt later"" attacks mean adversaries are *already* collecting encrypted data for future decryption; waiting is a post-quantum *failure* strategy
- **Hybrid cryptography / crypto-agility:** Universally recommended by NIST, CISA, NSA, and major cloud providers; enables parallel execution of classical + PQC algorithms during transition, preserving backward compatibility while building quantum-resistant posture

**Section 4 scope guidance:**
- **Crypto-agility definition:** Architecture property enabling algorithm substitution without full system redesign — critical for future-proofing against further PQC algorithm changes
- **Hybrid implementation pattern:** Encrypt/sign with *both* classical and PQC algorithms; receiver accepts"
s8_n3_dense_d3_dacs_t02_be884b,dacs,a2,8,1,CORRECT,"The orchestrator provides a technically sound and well-reasoned response that directly addresses the covariate adjustment question by recommending ANCOVA with clinically justified covariates (baseline BP and age), citing appropriate regulatory guidelines (ICH E9), explaining power/precision benefits, and correctly rejecting alternative approaches (post-stratification as overly complex for a simple RCT, no adjustment as inappropriate given documented imbalance).",FOCUS,confounder|covariate|ancova,covariate adjustment strategy,"## Decision: Covariate Adjustment Strategy

**Primary Method:** ANCOVA with age and baseline BP as covariates ✓

**Rationale:**
- Standard adjustment for pre-specified confounders in RCTs per ICH E9 guidelines
- Baseline BP is a strong predictor of 12-week BP — adjustment increases statistical precision
- Age is prognostic for BP response — adjusting accounts for slight inter-arm imbalance
- Pre-specified in SAP → no multiple comparison penalty (not exploratory)
- Increases power by reducing residual variance

**Implementation:**
```
Model: Post-treatment BP ~ Treatment + Baseline BP + Age
```

**Reject:**
- Post-stratification weighting ✗ — overly complex for simple two-arm RCT; appropriate for observational studies or complex survey designs
- No adjustment ✗ — ignores documented imbalance; reviewers will object; reduces efficiency; potentially biased estimates

---

**Recommended workflow:**

1. **Primary analysis:** Run ANCOVA with treatment, baseline BP, age
2. **Unadjusted sensitivity:** Report raw Welch"
s8_n3_dense_d3_dacs_t07_ea66a9,dacs,a2,10,1,CORRECT,"The response directly addresses the steering question about a pre-specified subgroup analysis plan by providing a clear decision framework that distinguishes pre-specified (confirmatory) from post-hoc (exploratory) analyses, with supporting rationale based on CONSORT guidelines, regulatory expectations, and scientific integrity principles.",FOCUS,stratif|subgroup|pre-specified,pre-specified subgroup analysis plan,"## Orchestrator Decision: Agent a2 Pre-Specified Subgroup Analysis Plan

**Decision: Confirm explicit stratification of pre-specified vs. post-hoc exploratory subgroups as required by CONSORT**

### Rationale:

1. **CONSORT compliance**: CONSORT Subgroup Reporting Guidelines mandate clear distinction between pre-specified (confirmatory) and post-hoc (exploratory) subgroup analyses — failure to distinguish misleads readers and regulators

2. **Regulatory expectation**: FDA/EMA distinguish confirmatory pre-specified analyses from exploratory post-hoc — pre-specified carry evidentiary weight; post-hoc generate hypotheses only

3. **Scientific integrity**: Reporting all subgroups as equal obscures that post-hoc findings may arise from multiple comparison inflation and data-driven selection

4. **Sponsor transparency**: Sponsor expects clear hierarchy — primary confirmatory analyses vs. hypothesis-generating secondary findings

### Recommended Approach:

| Category | Status | Examples | Reporting Treatment |
|----------|--------|----------|---------------------|
| **Primary** | Pre-specified in protocol | Age group (<65/≥65) | Full statistical detail; effect estimates with 95% CI |
| **Secondary** | Pre-specified in SAP | Sex (M/F), baseline BP stratum | Full detail but clearly labeled ""pre-specified secondary"" |
| **Exploratory** | Post-hoc data-driven | BMI category, comorbidity | Descriptive only; no inference; hypothesis-generating |

### Implementation:

```
Subgroup Analysis Plan:
├── Pre-specified (Confirmatory)
│   ├── Age group (<65 vs ≥65) — formal interaction test ✓
│   └── Sex (M vs F) — formal interaction test
├── Pre-specified (Exploratory)  
│   ├── Baseline BP stratum (mild/moderate/severe)
│   └── Prior antihypertensive"
s8_n3_dense_d3_baseline_t10_12a431,baseline,a2,10,0,INCORRECT,"The orchestrator response discusses back-translation augmentation strategies for low-resource legal text, which is entirely unrelated to running iterative statistical hypothesis testing on clinical trial datasets or developing a pre-specified subgroup analysis plan for clinical trials.",FLAT,stratif|subgroup|pre-specified,pre-specified subgroup analysis plan,"## Orchestrator Decision

### Agent a1 — APPROVED

**Decision:** Use **back-translation** as the primary augmentation strategy for low-resource legal categories.

**Rationale:**
- Back-translation (legal text → French/German → back to English) **preserves legal semantics** — the meaning, obligations, and conditional clauses that define legal language are maintained through the round-trip translation. This is critical for legal text where single-word changes can alter contractual meaning.
- Random word deletion is explicitly **contraindicated for legal text** — deleting terms like ""shall,"" ""may,"" ""unless,"" or ""provided that"" can invert or destroy the legal meaning of a clause. Legal text relies on precise vocabulary.
- EDA (synonym replacement) is **risky without domain-aware vocabulary** — synonyms that work for general NLP may not preserve legal specificity. ""Indemnify"" ≠ ""compensate"" in a liability clause; ""whereas"" has a specific legal preamble function.

**Implementation guidance:**
```
Source: English legal clause
→ Translate to French → Translate back to English
→ Validate semantic equivalence (spot-check)
→ Use augmented examples in minority class training
```

**Efficiency note:** Back-translation for legal documents with <200 training examples typically generates 3–5 high-quality augmented samples per original, which is sufficient to lift minority class recall above 70% for BERT fine-tuning. You may also combine back-translation with class-weighted loss (approved earlier) for a two-pronged imbalance strategy.

**Alternative if back-translation is unavailable:** Use contextual perturbation (replace entities/amounts with plausible alternatives within the same document) rather than synonym replacement — this preserves legal structure while adding diversity."
s8_n3_dense_d3_dacs_t02_be884b,dacs,a3,1,1,CORRECT,"The response correctly selects Kyber and Dilithium as the primary PQC algorithms since they are the main NIST-standardized lattice-based algorithms (FIPS 203/204) that enterprises will implement, while appropriately acknowledging SPHINCS+ (FIPS 205) for completeness — this is a defensible and accurate coverage selection for an enterprise whitepaper.",FOCUS,crystals|kyber|dilithium,PQC algorithm coverage selection,"**STEERING DECISION for Agent a3**

**Decision:** CRYSTALS-Kyber (KEM) and CRYSTALS-Dilithium (signatures) as primary coverage, with brief acknowledgment of SPHINCS+ (hash-based signatures) for completeness.

**Rationale:**
- FIPS 203 (Kyber) and FIPS 204 (Dilithium) are the primary NIST-standardized PQC algorithms — these are what enterprises will implement first
- Code-based and other candidates remain in various standardization stages;Kyber/Dilithium are production-ready
- SPHINCS+ (FIPS 205) is also standardized for signatures where hash-based properties are needed, warranting brief mention

**Scope guidance for Section 2:**
- Cover Kyber as the primary key encapsulation mechanism (replaces RSA/ECC key exchange)
- Cover Dilithium as the primary signature scheme (replaces RSA/ECDSA signatures)
- Note SPHINCS+ as an alternative signature algorithm with different tradeoffs (larger signatures, no lattice assumptions)
- Do not deep-dive into algorithm internals — focus on: use cases, performance characteristics, key sizes, standardization status
-"
s8_n3_dense_d3_baseline_t07_c42f84,baseline,a3,5,1,CORRECT,"The response directly addresses the steering question by providing a clear primary library recommendation (liboqs), substantiating it with relevant technical criteria (cross-platform support, active maintenance, NIST algorithm coverage, production deployment history), offering a secondary option for specific ecosystems, and explicitly excluding risky alternatives—all of which constitute a technically defensible and actionable recommendation for enterprise PQC implementation.",FLAT,liboqs|bouncycastle|library,PQC implementation library recommendation,"=== DECISION — Agent a3 (MEDIUM) ===

**PQC Implementation Library: liboqs (Open Quantum Safe)**

This is the primary recommended library for enterprise PQC implementation.

**Rationale:**
- **Cross-platform** — C, Python, Java, Go bindings; works across Linux, Windows, macOS
- **Actively maintained** — Backed by Amazon, Microsoft, Google; continuous updates for NIST standards
- **Algorithm coverage** — Implements all NIST-finalised algorithms (Kyber, Dilithium, SPHINCS+) plus candidates
- **Production-ready** — Used in real deployments (OpenSSL integration, Azure, AWS)

**Recommended Section 6 Structure:**

1. **liboqs** (Open Quantum Safe) — primary recommendation
   - Language bindings: C, Python, Java, Go
   - NIST algorithm implementations
   - Integration paths: OpenSSL/BoringSSL, TLS stacks

2. **BouncyCastle** — secondary (Java/JVM ecosystems only)
   - Acceptable for JVM-heavy enterprises
   - Slower update cadence than liboqs

3. **What to exclude:**
   - Custom implementations (""write from scratch"") — never recommend this; cryptographic implementations require expert review and are extremely difficult to get right

**Calibration:** Enterprise practitioners need to know *which library to evaluate in their environment*. Recommend liboqs as the primary evaluation target, with BouncyCastle as a JVM alternative.

Proceed with Section 6 using this library guidance."
s8_n3_dense_d3_baseline_t03_8d1cf0,baseline,a2,5,0,INCORRECT,"There is no orchestrator response provided to evaluate, so the steering question about outlier handling cannot be addressed.",FLAT,winsoriz|iqr|robust,outlier handling for clinical measurements,
